Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes
000000476759.jpg, 0.525359, 0.12520, 45.8, 12
000000300521.jpg, 0.727192, 0.11361, 46.9, 3
000000132602.jpg, 0.709405, 0.12583, 46.7, 10
000000467666.jpg, 0.887190, 0.11656, 46.4, 2
000000252268.jpg, 0.703824, 0.12806, 48.6, 7
000000247417.jpg, 0.876878, 0.11592, 46.4, 2
000000324457.jpg, 0.565531, 0.11890, 45.8, 8
000000477504.jpg, 0.475330, 0.12509, 42.6, 7
000000437649.jpg, 0.713231, 0.15947, 45.4, 5
000000384279.jpg, 0.562868, 0.11542, 47.9, 3
000000077196.jpg, 0.457160, 0.11691, 46.0, 4
000000426547.jpg, 0.502137, 0.12174, 47.4, 6
000000136341.jpg, 0.588226, 0.12353, 44.3, 10
000000273813.jpg, 0.895209, 0.14254, 45.7, 1
000000279037.jpg, 0.925824, 0.12221, 46.7, 2
000000101600.jpg, 0.416592, 0.16352, 46.9, 1
000000315655.jpg, 0.744992, 0.12637, 45.1, 14
000000109729.jpg, 0.701584, 0.12358, 48.0, 6
000000239024.jpg, 0.904746, 0.12208, 48.5, 2
000000532138.jpg, 0.556795, 0.11814, 45.0, 3
000000326267.jpg, 0.666110, 0.12273, 49.3, 12
000000172864.jpg, 0.739645, 0.11255, 48.1, 9
000000380407.jpg, 0.583211, 0.12356, 48.3, 5
000000418153.jpg, 0.660087, 0.12555, 49.0, 11
000000145887.jpg, 0.649682, 0.13159, 46.7, 17
000000282581.jpg, 0.614995, 0.12221, 45.5, 14
000000179991.jpg, 0.469169, 0.11773, 45.8, 12
000000069760.jpg, 0.697281, 0.11978, 49.7, 3
000000273810.jpg, 0.628935, 0.16254, 47.4, 9
000000188004.jpg, 0.602464, 0.12014, 40.4, 4
000000257402.jpg, 0.876318, 0.11687, 45.9, 10
000000138438.jpg, 0.495636, 0.12416, 45.6, 10
000000246516.jpg, 0.665294, 0.12096, 49.0, 14
000000227287.jpg, 0.694284, 0.12219, 40.8, 6
000000222706.jpg, 0.512442, 0.12722, 46.5, 19
000000425236.jpg, 0.777446, 0.12721, 49.3, 4
000000152025.jpg, 0.721997, 0.12192, 47.0, 13
000000328263.jpg, 0.000000, 0.12234, 48.0, 0
000000466228.jpg, 0.608540, 0.12515, 49.3, 7
000000222524.jpg, 0.724937, 0.11678, 46.2, 2
000000354352.jpg, 0.550954, 0.12359, 40.3, 3
000000382941.jpg, 0.572543, 0.12195, 48.0, 8
000000374648.jpg, 0.575093, 0.11107, 44.6, 4
000000349865.jpg, 0.616446, 0.11902, 45.8, 12
000000405339.jpg, 0.788631, 0.12158, 47.9, 3
000000402274.jpg, 0.000000, 0.11902, 46.4, 0
000000117526.jpg, 0.593632, 0.16536, 45.1, 8
000000184380.jpg, 0.538437, 0.12634, 47.9, 14
000000409506.jpg, 0.521392, 0.09347, 45.6, 25
000000211211.jpg, 0.650893, 0.09867, 45.4, 7
000000138277.jpg, 0.527725, 0.11497, 45.6, 3
000000119179.jpg, 0.716283, 0.12521, 47.5, 5
000000098130.jpg, 0.667099, 0.16374, 46.6, 1
000000534621.jpg, 0.568117, 0.12472, 48.3, 16
000000365680.jpg, 0.533284, 0.12182, 50.0, 8
000000242668.jpg, 0.587462, 0.12609, 43.8, 11
000000351543.jpg, 0.751838, 0.13164, 46.2, 2
000000058154.jpg, 0.516974, 0.11281, 45.3, 3
000000221302.jpg, 0.647628, 0.12425, 50.0, 8
000000132364.jpg, 0.559652, 0.14490, 48.1, 5
000000039186.jpg, 0.685331, 0.16400, 45.2, 9
000000538333.jpg, 0.677446, 0.11946, 39.5, 8
000000346998.jpg, 0.535699, 0.12202, 48.8, 1
000000505747.jpg, 0.692269, 0.12264, 45.6, 1
000000293569.jpg, 0.554944, 0.11869, 41.1, 15
000000227507.jpg, 0.714667, 0.12357, 44.3, 10
000000035287.jpg, 0.676906, 0.11589, 44.9, 9
000000007586.jpg, 0.530785, 0.11603, 45.4, 20
000000487673.jpg, 0.861090, 0.11402, 48.1, 1
000000333054.jpg, 0.460447, 0.11161, 48.1, 3
000000361471.jpg, 0.556141, 0.16319, 45.3, 18
000000253735.jpg, 0.454240, 0.12249, 45.2, 7
000000290649.jpg, 0.696605, 0.11565, 48.1, 6
000000351248.jpg, 0.671318, 0.11807, 46.2, 10
000000406816.jpg, 0.627480, 0.12242, 39.7, 13
000000124024.jpg, 0.560440, 0.12111, 45.7, 5
000000141791.jpg, 0.631793, 0.12459, 40.9, 13
000000506211.jpg, 0.695531, 0.11592, 42.4, 3
000000263672.jpg, 0.616312, 0.11674, 47.3, 3
000000385976.jpg, 0.647815, 0.12322, 45.4, 10
000000337605.jpg, 0.855319, 0.12125, 42.3, 3
000000105016.jpg, 0.771042, 0.12220, 46.7, 3
000000135569.jpg, 0.733690, 0.11429, 44.2, 4
000000343365.jpg, 0.537969, 0.12324, 47.0, 3
000000160936.jpg, 0.944266, 0.14855, 46.3, 1
000000318752.jpg, 0.579530, 0.12356, 45.5, 36
000000145936.jpg, 0.555454, 0.10522, 46.4, 2
000000024930.jpg, 0.873563, 0.12222, 46.4, 2
000000347020.jpg, 0.481596, 0.16105, 46.6, 18
000000043280.jpg, 0.598758, 0.12471, 46.5, 4
000000207484.jpg, 0.665506, 0.10825, 48.4, 15
000000057874.jpg, 0.751230, 0.12545, 45.0, 4
000000379431.jpg, 0.650132, 0.10496, 41.1, 9
000000189974.jpg, 0.511714, 0.12447, 44.8, 39
000000524289.jpg, 0.630049, 0.11087, 41.4, 7
000000286960.jpg, 0.887998, 0.12390, 47.5, 2
000000150840.jpg, 0.633899, 0.12379, 50.2, 5
000000303634.jpg, 0.572753, 0.13461, 44.9, 27
000000026194.jpg, 0.776629, 0.11832, 46.4, 2
000000024235.jpg, 0.839214, 0.12343, 45.5, 11
000000530003.jpg, 0.590822, 0.12474, 46.8, 5
000000182674.jpg, 0.920969, 0.08082, 52.1, 3
000000342889.jpg, 0.520921, 0.11728, 42.3, 4
000000036975.jpg, 0.771721, 0.11773, 48.5, 13
000000096980.jpg, 0.882155, 0.13029, 49.1, 3
000000466253.jpg, 0.849791, 0.16487, 46.4, 2
000000418183.jpg, 0.567207, 0.11883, 43.5, 15
000000532258.jpg, 0.766416, 0.12342, 53.4, 2
000000250452.jpg, 0.570546, 0.12150, 47.2, 16
000000085497.jpg, 0.498553, 0.12469, 41.3, 7
000000014223.jpg, 0.761961, 0.12306, 44.5, 10
000000394055.jpg, 0.717291, 0.11939, 50.0, 4
000000339263.jpg, 0.804821, 0.16816, 44.0, 4
000000330476.jpg, 0.660325, 0.11086, 45.8, 5
000000305018.jpg, 0.855451, 0.12194, 46.6, 3
000000471220.jpg, 0.546271, 0.11666, 47.2, 11
000000559710.jpg, 0.636280, 0.12299, 45.6, 6
000000575844.jpg, 0.699802, 0.12624, 48.1, 13
000000227062.jpg, 0.897802, 0.12358, 45.4, 1
000000160086.jpg, 0.737656, 0.12552, 46.8, 10
000000366552.jpg, 0.804683, 0.11461, 47.5, 2
000000257088.jpg, 0.812518, 0.11031, 42.9, 1
000000238754.jpg, 0.500788, 0.12918, 46.5, 4
000000492122.jpg, 0.625893, 0.12171, 48.2, 3
000000444406.jpg, 0.482264, 0.10290, 46.8, 4
000000149103.jpg, 0.553933, 0.12811, 44.9, 8
000000519585.jpg, 0.873389, 0.11587, 50.0, 2
000000137714.jpg, 0.654607, 0.11924, 45.7, 14
000000017668.jpg, 0.535204, 0.12151, 45.5, 6
000000501092.jpg, 0.495910, 0.12507, 44.7, 3
000000057787.jpg, 0.522201, 0.11681, 42.4, 5
000000317218.jpg, 0.559959, 0.11709, 45.1, 4
000000280150.jpg, 0.598273, 0.12386, 46.0, 10
000000537187.jpg, 0.653287, 0.11682, 50.0, 3
000000098371.jpg, 0.615456, 0.12423, 45.4, 3
