Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000081986.jpg,0.0,0.03413,28.3,0,0
000000081986.jpg,0.0,0.03413,28.3,0,0
000000276355.jpg,0.788158,0.03065,25.6,2,0
000000481811.jpg,0.483736,0.02975,31.1,4,0
000000056745.jpg,0.504932,0.03167,27.7,8,0
000000132653.jpg,0.0,0.03065,36.0,0,0
000000132653.jpg,0.0,0.03065,36.0,0,0
000000037146.jpg,0.0,0.03065,23.8,0,0
000000037146.jpg,0.0,0.03065,23.8,0,0
000000519082.jpg,0.774151,0.02623,12.9,1,0
000000293149.jpg,0.724985,0.03171,34.6,5,0
000000400824.jpg,0.544057,0.03292,28.0,7,0
000000333957.jpg,0.627787,0.02846,45.1,11,0
000000420632.jpg,0.665137,0.0306,28.3,2,0
000000500047.jpg,0.0,0.03935,25.5,0,1
000000500047.jpg,0.0,0.03935,25.5,0,1
000000010279.jpg,0.0,0.03935,31.1,0,1
000000010279.jpg,0.0,0.03935,31.1,0,1
000000369926.jpg,0.436565,0.02852,42.9,1,0
000000401069.jpg,0.58922,0.03073,31.2,11,0
000000212889.jpg,0.68323,0.02997,29.8,6,0
000000000725.jpg,0.874211,0.02953,27.9,2,0
000000074878.jpg,0.0,0.03231,34.6,0,0
000000074878.jpg,0.0,0.03231,34.6,0,0
000000299828.jpg,0.0,0.03231,36.4,0,0
000000299828.jpg,0.0,0.03231,36.4,0,0
000000057163.jpg,0.424261,0.02989,26.1,2,0
000000556425.jpg,0.433868,0.03363,32.1,9,0
000000318069.jpg,0.931332,0.02983,30.4,1,0
000000538866.jpg,0.497655,0.03009,38.0,20,0
000000039723.jpg,0.380489,0.03507,31.6,9,1
000000089085.jpg,0.658131,0.02901,30.2,5,0
000000258618.jpg,0.480968,0.03602,16.7,2,1
000000168402.jpg,0.662497,0.03515,38.1,3,1
000000074054.jpg,0.31314,0.02811,23.1,5,0
000000008082.jpg,0.476947,0.02647,33.3,3,0
000000515596.jpg,0.502596,0.02956,34.0,4,0
000000212779.jpg,0.731729,0.03111,30.6,3,0
000000022553.jpg,0.869496,0.02863,42.0,2,0
000000191148.jpg,0.672224,0.03271,26.5,3,0
000000216328.jpg,0.457548,0.02608,31.0,5,0
000000442265.jpg,0.462375,0.03325,32.1,4,0
000000176072.jpg,0.418087,0.03252,27.1,2,0
000000446489.jpg,0.61243,0.02845,35.6,4,0
000000226186.jpg,0.803619,0.03021,39.2,1,0
000000091964.jpg,0.498668,0.02968,26.2,5,0
000000051036.jpg,0.753101,0.03139,24.4,7,0
000000060643.jpg,0.313094,0.03511,27.8,1,1
000000447750.jpg,0.582438,0.02905,32.6,8,0
000000403604.jpg,0.0,0.03045,34.7,0,0
000000403604.jpg,0.0,0.03045,34.7,0,0
000000403604.jpg,0.0,0.03045,34.7,0,0
000000028708.jpg,0.0,0.03045,29.8,0,0
000000028708.jpg,0.0,0.03045,29.8,0,0
000000028708.jpg,0.0,0.03045,29.8,0,0
000000077507.jpg,0.0,0.03045,25.6,0,0
000000077507.jpg,0.0,0.03045,25.6,0,0
000000077507.jpg,0.0,0.03045,25.6,0,0
000000406815.jpg,0.581435,0.03246,21.7,1,0
000000054263.jpg,0.607255,0.02905,36.2,13,0
000000024170.jpg,0.397415,0.03252,35.7,6,0
000000378510.jpg,0.724438,0.02894,31.1,3,0
000000435555.jpg,0.311318,0.03205,34.6,1,0
000000176611.jpg,0.544213,0.0302,39.2,2,0
000000331293.jpg,0.477833,0.02839,34.1,1,0
000000417473.jpg,0.620482,0.02908,36.7,5,0
000000134489.jpg,0.717805,0.03022,31.9,2,0
000000163298.jpg,0.373933,0.0304,36.0,1,0
000000541187.jpg,0.391594,0.02781,37.0,3,0
000000375984.jpg,0.467919,0.03242,27.1,2,0
000000173990.jpg,0.394325,0.03046,34.7,4,0
000000501662.jpg,0.502832,0.032,36.4,1,0
000000148674.jpg,0.479103,0.02914,32.6,8,0
000000112233.jpg,0.0,0.03866,31.6,0,1
000000451735.jpg,0.535428,0.02798,37.5,15,0
000000127442.jpg,0.482383,0.03028,33.3,5,0
000000556539.jpg,0.453102,0.0298,27.9,8,0
000000496080.jpg,0.447148,0.03195,40.4,9,0
