Image,Avg. Confidence,Response Time(s),CPU Consumption(%),Detection boxes,SKMeans_Cluster
000000502085.jpg,0.734999,0.07623,37.9,2,1
000000132543.jpg,0.645768,0.05822,31.3,4,0
000000245200.jpg,0.873003,0.05978,38.9,1,0
000000138313.jpg,0.668579,0.06173,35.4,1,0
000000162671.jpg,0.62425,0.05979,31.0,7,0
000000024114.jpg,0.805923,0.05912,22.1,2,0
000000555846.jpg,0.802632,0.05509,42.4,2,0
000000378084.jpg,0.841406,0.06465,30.5,2,0
000000571685.jpg,0.537386,0.05679,38.9,15,0
000000167124.jpg,0.43673,0.05876,38.5,1,0
000000306695.jpg,0.464299,0.06272,36.4,6,0
000000383098.jpg,0.638833,0.05865,39.8,5,0
000000315983.jpg,0.69603,0.06018,41.7,7,0
000000502350.jpg,0.479009,0.05571,43.0,3,0
000000065423.jpg,0.597664,0.06061,34.4,2,0
000000328556.jpg,0.929801,0.0631,36.6,1,0
000000176261.jpg,0.462346,0.0765,37.0,5,1
000000389785.jpg,0.617426,0.05256,35.4,12,0
000000096141.jpg,0.54186,0.06095,38.8,11,0
000000531698.jpg,0.643405,0.06026,35.2,8,0
000000298918.jpg,0.723064,0.06039,36.2,8,0
000000507973.jpg,0.492591,0.05793,39.4,9,0
000000532039.jpg,0.487594,0.07802,44.9,6,1
000000294385.jpg,0.454606,0.06311,40.6,1,0
000000357694.jpg,0.511442,0.05264,36.5,22,0
000000320010.jpg,0.690763,0.05831,36.0,6,0
000000502096.jpg,0.899062,0.05574,36.9,1,0
000000042607.jpg,0.41306,0.05941,35.2,4,0
000000291250.jpg,0.557542,0.06022,40.6,6,0
000000151937.jpg,0.616359,0.04975,40.7,7,0
000000014324.jpg,0.69638,0.06205,40.8,2,0
000000439713.jpg,0.863442,0.05862,33.0,1,0
000000039164.jpg,0.770862,0.05981,33.7,7,0
000000398543.jpg,0.0,0.06238,35.7,0,0
000000122068.jpg,0.365858,0.06373,35.6,9,0
000000057900.jpg,0.630349,0.0603,42.3,13,0
000000273644.jpg,0.347992,0.07052,42.6,3,1
000000466120.jpg,0.655284,0.0581,41.5,6,0
000000257573.jpg,0.814493,0.06138,37.8,4,0
000000300539.jpg,0.629443,0.06347,44.1,10,0
000000579285.jpg,0.627011,0.0523,32.9,16,0
000000026417.jpg,0.327053,0.06341,39.0,2,0
000000178765.jpg,0.802138,0.06115,35.8,2,0
